id,key,value,type
12424693,name_type,Ave,tiger
12424693,reviewed,no,tiger
12424693,zip_left,29577,tiger
12424693,zip_right,29577,tiger
12424726,highway,residential,regular
12424726,name,16th Avenue North,regular
12424726,cfcc,A41,tiger
12424726,county,"Horry, SC",tiger
12424726,name_base,16th,tiger
12424726,name_direction_suffix,N,tiger
12424726,name_type,Ave,tiger
12424726,reviewed,no,tiger
12424726,zip_left,29577,tiger
12424726,zip_right,29577,tiger
12424771,highway,residential,regular
12424771,name,Linden Street,regular
12424771,cfcc,A41,tiger
12424771,county,"Horry, SC",tiger
12424771,name_base,Linden,tiger
12424771,name_type,St,tiger
12424771,reviewed,no,tiger
12424771,zip_left,29577,tiger
12424771,zip_right,29577,tiger
12424879,highway,residential,regular
12424879,name,16th Avenue South,regular
12424879,cfcc,A41,tiger
12424879,county,"Horry, SC",tiger
12424879,name_base,16th,tiger
12424879,name_direction_suffix,S,tiger
12424879,name_type,Ave,tiger
12424879,reviewed,no,tiger
12424879,zip_left,29577,tiger
12424879,zip_right,29577,tiger
12425087,highway,residential,regular
12425087,name,Pampas Drive,regular
12425087,cfcc,A41,tiger
12425087,county,"Horry, SC",tiger
12425087,name_base,Pampas,tiger
12425087,name_type,Dr,tiger
12425087,reviewed,no,tiger
12425087,zip_left,29577,tiger
12425087,zip_right,29577,tiger
12425174,highway,residential,regular
12425174,name,Ellington Street,regular
12425174,cfcc,A41,tiger
12425174,county,"Horry, SC",tiger
12425174,name_base,Ellington,tiger
12425174,name_type,St,tiger
12425174,reviewed,no,tiger
12425174,zip_left,29577,tiger
12425174,zip_right,29577,tiger
12425194,highway,residential,regular
12425194,name_1,10th Ave Extended N,regular
12425204,highway,residential,regular
12425204,name,10th Avenue North,regular
12425204,cfcc,A41,tiger
12425204,county,"Horry, SC",tiger
12425204,name_base,10th,tiger
12425204,name_direction_suffix,N,tiger
12425204,name_type,Ave,tiger
12425204,reviewed,no,tiger
12425204,zip_left,29577,tiger
12425204,zip_right,29577,tiger
12425243,highway,residential,regular
12425243,name,Legion Street,regular
12425243,cfcc,A41,tiger
12425243,county,"Horry, SC",tiger
12425243,name_base,Legion,tiger
12425243,name_type,St,tiger
12425243,reviewed,no,tiger
12425243,zip_left,29577,tiger
12425243,zip_right,29577,tiger
12425372,highway,residential,regular
12425372,name,10th Avenue South,regular
12425372,cfcc,A41,tiger
12425372,county,"Horry, SC",tiger
12425372,name_base,10th,tiger
12425372,name_direction_suffix,S,tiger
12425372,name_type,Ave,tiger
12425372,reviewed,no,tiger
12425372,zip_left,29577,tiger
12425372,zip_right,29577,tiger
12425485,highway,residential,regular
12425485,name,Palm Lane,regular
12425485,cfcc,A41,tiger
12425485,county,"Horry, SC",tiger
12425485,name_base,Palm,tiger
12425485,name_type,Ln,tiger
12425485,reviewed,no,tiger
12425485,zip_left,29577,tiger
12425485,zip_right,29577,tiger
12425575,highway,residential,regular
12425575,name,Spivey Avenue,regular
12425575,cfcc,A41,tiger
12425575,county,"Horry, SC",tiger
12425575,name_base,Spivey,tiger
12425575,name_type,Ave,tiger
12425575,zip_left,29577,tiger
12425575,zip_right,29577,tiger
12425655,highway,residential,regular
12425655,name,Polly Lane,regular
12425655,cfcc,A41,tiger
12425655,county,"Horry, SC",tiger
12425655,name_base,Polly,tiger
12425655,name_type,Ln,tiger
12425655,reviewed,no,tiger
12425655,zip_left,29588,tiger
12425655,zip_right,29588,tiger
12425804,highway,residential,regular
12425804,name,Crabetree Lane,regular
12425804,cfcc,A41,tiger
12425804,county,"Horry, SC",tiger
12425804,name_base,Crabtree,tiger
12425804,name_type,Lane,tiger
12425804,reviewed,no,tiger
12425804,zip_left,29577,tiger
12425804,zip_right,29577,tiger
12425988,highway,tertiary,regular
12425988,name,Pine Island Road,regular
12425988,cfcc,A41,tiger
12425988,county,"Horry, SC",tiger
12425988,name_base,Pine Island,tiger
12425988,name_type,Rd,tiger
12425988,reviewed,no,tiger
12425988,zip_left,29577,tiger
12425988,zip_right,29577,tiger
12425994,highway,tertiary,regular
12425994,name,Pine Island Road,regular
12425994,cfcc,A41,tiger
12425994,county,"Horry, SC",tiger
12425994,name_base,Pine Island,tiger
12425994,name_type,Rd,tiger
12425994,reviewed,no,tiger
12426138,highway,residential,regular
12426138,name,Stockholder Avenue,regular
12426138,cfcc,A41,tiger
12426138,county,"Horry, SC",tiger
12426138,name_base,Stockholder,tiger
12426138,name_type,Ave,tiger
12426138,reviewed,no,tiger
12426138,zip_left,29577,tiger
12426138,zip_right,29577,tiger
12426337,highway,residential,regular
12426337,name,High Grove Court North,regular
12426337,cfcc,A41,tiger
12426337,county,"Horry, SC",tiger
12426337,name_base,Strathmill,tiger
12426337,name_type,Ct,tiger
12426337,reviewed,no,tiger
12426337,zip_left,29575,tiger
12426337,zip_right,29575,tiger
12426389,highway,residential,regular
12426389,name,Cornerstone Court,regular
12426389,cfcc,A41,tiger
12426389,county,"Horry, SC",tiger
12426389,name_base,Cornerstone,tiger
12426389,name_type,Ct,tiger
12426389,reviewed,no,tiger
12426389,zip_left,29588,tiger
12426418,highway,residential,regular
12426418,name,Triumph Drive,regular
12426418,cfcc,A41,tiger
12426418,county,"Horry, SC",tiger
